Postcode,e-PIMS ID,Legislative Country,Effective From,Effective To
BD100,88516,England,01/01/2023,
BD100JB,88516,England,01/01/2023,
BD108,88516,England,01/01/2023,
BD108DD,88516,England,01/01/2023,
BD109,88516,England,01/01/2023,
BD11,88516,England,01/01/2023,
BD111,88516,England,01/01/2023,
BD112,88516,England,01/01/2023,
BD112AG,88516,England,01/01/2023,
BD12,88516,England,01/01/2023,
BD120,88516,England,01/01/2023,
BD127,88516,England,01/01/2023,
BD127BA,88516,England,01/01/2023,
BD127BU,88516,England,01/01/2023,
BD127DH,88516,England,01/01/2023,
BD127EB,88516,England,01/01/2023,
BD127EF,88516,England,01/01/2023,
BD127EZ,88516,England,01/01/2023,
BD128,88516,England,01/01/2023,
BD128DD,88516,England,01/01/2023,
BD129,88516,England,01/01/2023,
BD13,88516,England,01/01/2023,
BD131,88516,England,01/01/2023,
BD131HB,88516,England,01/01/2023,
BD132,88516,England,01/01/2023,
BD133,88516,England,01/01/2023,
BD134,88516,England,01/01/2023,
BD135,88516,England,01/01/2023,
BD14,88516,England,01/01/2023,
BD146,88516,England,01/01/2023,
BD15,88516,England,01/01/2023,
BD150,88516,England,01/01/2023,
BD157,88516,England,01/01/2023,
BD158,88516,England,01/01/2023,
BD159,88516,England,01/01/2023,
BD161,88516,England,01/01/2023,
BD162,88516,England,01/01/2023,
BD163,88516,England,01/01/2023,
BD164,88516,England,01/01/2023,
BD175,88516,England,01/01/2023,
BD176,88516,England,01/01/2023,
BD177,88516,England,01/01/2023,
BD177ES,88516,England,01/01/2023,
BD181,88516,England,01/01/2023,
BD182,88516,England,01/01/2023,
BD183,88516,England,01/01/2023,
BD184,88516,England,01/01/2023,
BD186JR,88516,England,01/01/2023,
BD196,88516,England,01/01/2023,
BD21,88516,England,01/01/2023,
BD22,88516,England,01/01/2023,
BD23,88516,England,01/01/2023,
BD24,88516,England,01/01/2023,
BD30,88516,England,01/01/2023,
BD30JL,88516,England,01/01/2023,
BD37,88516,England,01/01/2023,
BD38,88516,England,01/01/2023,
BD39,88516,England,01/01/2023,
BD40,88516,England,01/01/2023,
BD46,88516,England,01/01/2023,
BD46LB,88516,England,01/01/2023,
BD46NE,88516,England,01/01/2023,
BD46NJ,88516,England,01/01/2023,
BD46PU,88516,England,01/01/2023,
BD47,88516,England,01/01/2023,
BD48,88516,England,01/01/2023,
BD49,88516,England,01/01/2023,
BD50,88516,England,01/01/2023,
BD57,88516,England,01/01/2023,
BD57AG,88516,England,01/01/2023,
BD58,88516,England,01/01/2023,
BD59,88516,England,01/01/2023,
BD61,88516,England,01/01/2023,
BD62,88516,England,01/01/2023,
BD63,88516,England,01/01/2023,
BD7,88516,England,01/01/2023,
BD71,88516,England,01/01/2023,
BD72,88516,England,01/01/2023,
BD73,88516,England,01/01/2023,
BD74,88516,England,01/01/2023,
BD80,88516,England,01/01/2023,
BD87,88516,England,01/01/2023,
BD88,88516,England,01/01/2023,
BD89,88516,England,01/01/2023,
BD94,88516,England,01/01/2023,
BD95,88516,England,01/01/2023,
BD96,88516,England,01/01/2023,
BD992,88516,England,01/01/2023,
BD994,88516,England,01/01/2023,
HX11,88516,England,01/01/2023,
HX12,88516,England,01/01/2023,
HX13,88516,England,01/01/2023,
HX14,88516,England,01/01/2023,
HX15,88516,England,01/01/2023,
HX20,88516,England,01/01/2023,
HX26,88516,England,01/01/2023,
HX27,88516,England,01/01/2023,
HX28,88516,England,01/01/2023,
HX29,88516,England,01/01/2023,
HX61,88516,England,01/01/2023,
HX62,88516,England,01/01/2023,
HX63,88516,England,01/01/2023,
HX64,88516,England,01/01/2023,
HX70,88516,England,01/01/2023,
HX75,88516,England,01/01/2023,
HX76,88516,England,01/01/2023,
HX77,88516,England,01/01/2023,
HX78,88516,England,01/01/2023,
LS213,88516,England,01/01/2023,
LS285,88516,England,01/01/2023,
LS286EF,88516,England,01/01/2023,
LS286EH,88516,England,01/01/2023,
LS287,88516,England,01/01/2023,
LS288,88516,England,01/01/2023,
LS289,88516,England,01/01/2023,
LS296,88516,England,01/01/2023,
